FormattedTitle;primary_code;index_entry;parsedCodes;tags;priority;id;charCount
Abcès tuberculeux de la colonne vertébrale;"A18.0†; M49.09*";Abcès;"[""A18.0"";""M49.09""]";"[""TBK"";""tuberculose secondaire""]";0;26;42
Abcès tuberculeux des os;"A18.0†; M90.09*";Abcès;"[""A18.0"";""M90.09""]";"[""TBK"";""tuberculose secondaire""]";0;27;24
Abcès tuberculeux de l’appareil génito-urinaire;A18.1;Abcès;"[""A18.1""]";"[""TBK"";""tuberculose secondaire""]";0;28;47
Abcès périnéphrétique tuberculeux;"A18.1†; N29.1*";Abcès;"[""A18.1"";""N29.1""]";"[""TBK"";""tuberculose secondaire""]";0;29;33
Abcès tuberculeux du testicule;"A18.1†; N51.1*";Abcès;"[""A18.1"";""N51.1""]";"[""TBK"";""tuberculose secondaire""]";0;30;30
Abcès tuberculeux de la glande de Cowper;"A18.1†; N51.8*";Abcès;"[""A18.1"";""N51.8""]";"[""TBK"";""tuberculose secondaire""]";0;31;40
Abcès tuberculeux du bassin féminin;"A18.1†; N74.1*";Abcès;"[""A18.1"";""N74.1""]";"[""TBK"";""tuberculose secondaire""]";0;32;35
Abcès tuberculeux du péritoine;"A18.3†; K67.3*";Abcès;"[""A18.3"";""K67.3""]";"[""TBK"";""tuberculose secondaire""]";0;33;30
Tuberculose du rectum avec Abcès;"A18.3†; K93.0*";Abcès;"[""A18.3"";""K93.0""]";"[""TBK"";""tuberculose secondaire""]";0;34;32
Abcès tuberculeux du muscle;"A18.8†; M63.09*";Abcès;"[""A18.8"";""M63.09""]";"[""TBK"";""tuberculose secondaire""]";0;35;27
"Infection gonococcique de la partie inférieure de l’appareil génito-urinaire; sans Abcès périurétral ou des glandes annexes";A54.0;Abcès;"[""A54.0""]";[];0;36;123
Abcès gonococcique des glandes de Bartholin;A54.1;Abcès;"[""A54.1""]";[];0;37;43
Vaginite gonorrhéique avec Abcès;"A54.1†; N77.1*";Abcès;"[""A54.1"";""N77.1""]";[];0;38;32
Abcès gonorrhéique de la prostate;"A54.2†; N51.0*";Abcès;"[""A54.2"";""N51.0""]";[];0;39;33
Abcès cérébral à gonocoques;"A54.8†; G07*";Abcès;"[""A54.8"";""G07""]";[];0;40;27
Abcès à Candida;B37.9;Abcès;"[""B37.9""]";[];0;41;15
Chromomycose [chromoblastomycose] et Abcès phaeohyphomycosique;B43;Abcès;"[""B43""]";[];0;42;62
Abcès phaeohyphomycosique du cerveau;B43.1;Abcès;"[""B43.1""]";[];0;43;36
Abcès chromomycotique du cerveau;"B43.1†; G07*";Abcès;"[""B43.1"";""G07""]";[];0;44;32
Abcès et kyste phaeohyphomycosiques sous-cutanés;B43.2;Abcès;"[""B43.2""]";[];0;45;48
Chromomycose sous-cutanée avec Abcès;"B43.2†; L99.8*";Abcès;"[""B43.2"";""L99.8""]";[];0;46;36
Abcès aspergillaire du poumon;B44.1;Abcès;"[""B44.1""]";[];0;47;29
Abcès de la rate;D73.3;Abcès;"[""D73.3""]";[];0;48;16
Abcès de la thyroïde;E06.0;Abcès;"[""E06.0""]";[];0;49;20
Abcès de l’hypophyse;E23.6;Abcès;"[""E23.6""]";[];0;50;20
Abcès du thymus;E32.1;Abcès;"[""E32.1""]";[];0;51;15
Abcès et granulome intracrâniens et intrarachidiens;G06;Abcès;"[""G06""]";[];0;52;51
Abcès cérébelleux;G06.0;Abcès;"[""G06.0""]";[];0;53;17
Abcès de la moelle épinière;G06.1;Abcès;"[""G06.1""]";[];0;54;27
Abcès à staphylocoques de la moelle épinière;"G06.1; B95.8!";Abcès;"[""G06.1"";""B95.8""]";[];0;55;44
Abcès de la paupière;H00.0;Abcès;"[""H00.0""]";[];0;56;20
Abcès de l’orbite;H05.0;Abcès;"[""H05.0""]";[];0;57;17
Abcès du corps vitré;H44.0;Abcès;"[""H44.0""]";[];0;58;20
Abcès de l’oreille externe;H60.0;Abcès;"[""H60.0""]";[];0;59;26
Abcès de la mastoïde;H70.0;Abcès;"[""H70.0""]";[];0;60;20
Abcès aigu d’un sinus de la face;J01;Abcès;"[""J01""]";[];0;61;32
Abcès chronique d’un sinus de la face;J32;Abcès;"[""J32""]";[];0;62;37
Abcès du nez;J34.0;Abcès;"[""J34.0""]";[];0;63;12
Abcès de l’amygdale;J36;Abcès;"[""J36""]";[];0;64;19
Abcès des cordes vocales;J38.3;Abcès;"[""J38.3""]";[];0;65;24
Abcès du larynx;J38.7;Abcès;"[""J38.7""]";[];0;66;15
Abcès parapharyngé et rétropharyngé;J39.0;Abcès;"[""J39.0""]";[];0;67;35
Abcès du poumon et du médiastin;J85;Abcès;"[""J85""]";[];0;68;31
Abcès du poumon avec pneumonie;J85.1;Abcès;"[""J85.1""]";[];0;69;30
Abcès du poumon ;J85.2;Abcès;"[""J85.2""]";[];0;70;16
Abcès du médiastin;J85.3;Abcès;"[""J85.3""]";[];0;71;18
Abcès pleural;J86;Abcès;"[""J86""]";[];0;72;13
Abcès périapical avec fistule;K04.6;Abcès;"[""K04.6""]";[];0;73;29
Abcès périapical sans fistule;K04.7;Abcès;"[""K04.7""]";[];0;74;29
Abcès parodontal;K05.2;Abcès;"[""K05.2""]";[];0;75;16
Abcès maxillaire sans indication d’extension rétromaxilllaire ou dans la fosse canine;K10.20;Abcès;"[""K10.20""]";[];0;76;85
Abcès maxillaire avec indication d’extension rétromaxilllaire ou dans la fosse canine;K10.21;Abcès;"[""K10.21""]";[];0;77;85
Abcès des glandes salivaires;K11.3;Abcès;"[""K11.3""]";[];0;78;28
Phlegmon et Abcès de la bouche;K12.2;Abcès;"[""K12.2""]";[];0;79;30
"Abcès sousmandibulaire sans indication d’extension médiastinale; parapharyngée ou cervicale";K12.21;Abcès;"[""K12.21""]";[];0;80;91
"Abcès sousmandibulaire avec indication d’extension médiastinale; parapharyngée ou cervicale";K12.22;Abcès;"[""K12.22""]";[];0;81;91
Abcès de la joue;K12.23;Abcès;"[""K12.23""]";[];0;82;16
"Phlegmon et Abcès de la bouche; sans autre précision";K12.29;Abcès;"[""K12.29""]";[];0;83;52
Abcès de la langue;K14.0;Abcès;"[""K14.0""]";[];0;84;18
Abcès à staphylocoques à la langue;"K14.0; B95.8!";Abcès;"[""K14.0"";""B95.8""]";[];0;85;34
Abcès de l’œsophage;K20;Abcès;"[""K20""]";[];0;86;19
Appendicite aiguë avec Abcès péritonéal;K35.32;Abcès;"[""K35.32""]";[];0;87;39
Maladie diverticulaire de l’intestin grêle avec perforation et Abcès;K57.02;Abcès;"[""K57.02""]";[];0;88;68
"Diverticulite de l’intestin grêle avec perforation; Abcès et saignement";K57.03;Abcès;"[""K57.03""]";[];0;89;71
"Diverticulose de l’intestin grêle sans perforation ; Abcès ou indication de saignement";K57.10;Abcès;"[""K57.10""]";[];0;90;86
"Diverticulose de l’intestin grêle sans perforation ni Abcès; avec saignement";K57.11;Abcès;"[""K57.11""]";[];0;91;76
"Diverticulite de l’intestin grêle sans perforation ; Abcès ou indication de saignement";K57.12;Abcès;"[""K57.12""]";[];0;92;86
"Diverticulite de l’intestin grêle sans perforation ni Abcès; avec saignement";K57.13;Abcès;"[""K57.13""]";[];0;93;76
Maladie diverticulaire du côlon avec perforation et Abcès;K57.22;Abcès;"[""K57.22""]";[];0;94;57
"Diverticulite du colon avec perforation; Abcès et saignement";K57.23;Abcès;"[""K57.23""]";[];0;95;60
"Diverticulose du côlon sans perforation ni Abcès; sans indication de saignement";K57.30;Abcès;"[""K57.30""]";[];0;96;79
"Diverticulose du côlon sans perforation ni Abcès; avec saignement";K57.31;Abcès;"[""K57.31""]";[];0;97;65
"Diverticulite du côlon sans perforation ni Abcès; sans indication de saignement";K57.32;Abcès;"[""K57.32""]";[];0;98;79
"Diverticulite du côlon sans perforation ni Abcès; avec saignement";K57.33;Abcès;"[""K57.33""]";[];0;99;65
Maladie diverticulaire de l’intestin grêle et du côlon avec perforation et Abcès;K57.42;Abcès;"[""K57.42""]";[];0;100;80
"Diverticulite de l’intestin grêle et du côlon avec perforation; Abcès et saignement";K57.43;Abcès;"[""K57.43""]";[];0;101;83
"Diverticulose de l’intestin grêle et du côlon sans perforation ni Abcès; sans saignement";K57.50;Abcès;"[""K57.50""]";[];0;102;88
"Diverticulose du grêle et du colon sans perforation ni Abcès; avec saignement";K57.51;Abcès;"[""K57.51""]";[];0;103;77
"Diverticulite de l’intestin grêle et du côlon sans perforation ni Abcès; sans indication de saignement";K57.52;Abcès;"[""K57.52""]";[];0;104;102
"Diverticulite de l’intestin grêle et du côlon sans perforation ni Abcès; avec saignement";K57.53;Abcès;"[""K57.53""]";[];0;105;88
Maladie diverticulaire de l’intestin avec perforation et Abcès;K57.82;Abcès;"[""K57.82""]";[];0;106;62
Abcès des régions anale et rectale;K61;Abcès;"[""K61""]";[];0;107;34
Abcès anal;K61.0;Abcès;"[""K61.0""]";[];0;108;10
Abcès périrectal;K61.1;Abcès;"[""K61.1""]";[];0;109;16
Abcès ano-rectal;K61.2;Abcès;"[""K61.2""]";[];0;110;16
Abcès de la fosse ischio-rectale;K61.3;Abcès;"[""K61.3""]";[];0;111;32
Abcès intrasphinctérien;K61.4;Abcès;"[""K61.4""]";[];0;112;23
Abcès de l’intestin;K63.0;Abcès;"[""K63.0""]";[];0;113;19
Abcès: abdomino-pelvien;K65.09;Abcès;"[""K65.09""]";[];0;114;23
Abcès du foie;K75.0;Abcès;"[""K75.0""]";[];0;115;13
Abcès de la vésicule biliaire sans calcul;K81.0;Abcès;"[""K81.0""]";[];0;116;41
Abcès cutané;L02;Abcès;"[""L02""]";[];0;117;12
furoncle cutané;L02;Abcès;"[""L02""]";[];0;118;15
anthrax cutané;L02;Abcès;"[""L02""]";[];0;119;14
"Abcès (aigu) tout ganglion lymphatique; sauf mésentérique";L04;Abcès;"[""L04""]";[];0;120;57
Kyste sacro-coccygien avec Abcès;L05.0;Abcès;"[""L05.0""]";[];0;121;32
Sinus pilonidal sans Abcès;L05.9;Abcès;"[""L05.9""]";[];0;122;26
Abcès osseux rachidien non tuberculeux;M46.29;Abcès;"[""M46.29""]";[];0;123;38
Abcès articulaire vertébral non tuberculeux;M46.59;Abcès;"[""M46.59""]";[];0;124;43
Abcès du psoas;M60.05;Abcès;"[""M60.05""]";[];0;125;14
Abcès de la gaine du tendon;M65.0;Abcès;"[""M65.0""]";[];0;126;27
Abcès des bourses séreuses;M71.0;Abcès;"[""M71.0""]";[];0;127;26
Abcès de fascia;M72.8;Abcès;"[""M72.8""]";[];0;128;15
Abcès de Brodie;M86.8;Abcès;"[""M86.8""]";[];0;129;15
Abcès rénal avec calcul et hydronéphrose;N13.64;Abcès;"[""N13.64""]";[];0;130;40
Abcès rénal et périrénal;N15.1;Abcès;"[""N15.1""]";[];0;131;24
Abcès rénal;N15.10;Abcès;"[""N15.10""]";[];0;132;11
Abcès périrénal;N15.11;Abcès;"[""N15.11""]";[];0;133;15
Abcès de la vessie;N30.8;Abcès;"[""N30.8""]";[];0;134;18
Abcès (de): glande de: Cowper;N34.0;Abcès;"[""N34.0""]";[];0;135;29
Abcès de la prostate;N41.2;Abcès;"[""N41.2""]";[];0;136;20
Orchite avec Abcès;N45.0;Abcès;"[""N45.0""]";[];0;137;18
épididymite avec Abcès;N45.0;Abcès;"[""N45.0""]";[];0;138;22
épididymo-orchite avec Abcès;N45.0;Abcès;"[""N45.0""]";[];0;139;28
Orchite sans Abcès;N45.9;Abcès;"[""N45.9""]";[];0;140;18
épididymite sans Abcès;N45.9;Abcès;"[""N45.9""]";[];0;141;22
épididymo-orchite sans Abcès;N45.9;Abcès;"[""N45.9""]";[];0;142;28
Abcès des corps caverneux et de la verge;N48.2;Abcès;"[""N48.2""]";[];0;143;40
Abcès des ovaire;N70;Abcès;"[""N70""]";[];0;144;16
Abcès utérin;N71;Abcès;"[""N71""]";[];0;145;12
Abcès non puerpéral du col utérin;N72;Abcès;"[""N72""]";[];0;146;33
Abcès aigu du ligament large;N73.0;Abcès;"[""N73.0""]";[];0;147;28
Abcès de la glande de Bartholin;N75.1;Abcès;"[""N75.1""]";[];0;148;31
Abcès de la vulve;N76.4;Abcès;"[""N76.4""]";[];0;149;17
Abcès du mamelon;O91.0;Abcès;"[""O91.0""]";[];0;150;16
Abcès du sein associé à l’accouchement;O91.1;Abcès;"[""O91.1""]";[];0;151;38
Tumeur maligne des nerfs périphériques de l’Abdomen;C47.4;Abdomen;"[""C47.4""]";[];0;152;51
Sarcome pléomorphe indifférencié de l’Abdomen;C49.4;Abdomen;"[""C49.4""]";[];0;153;45
Tumeur maligne de l'abdomen;C76.2;Abdomen;"[""C76.2""]";[];0;154;27
Métastase des ganglions lymphatiques de l’Abdomen;"C77.2; U69.52!";Abdomen;"[""C77.2"";""U69.52""]";[];0;155;49
Tumeur bénigne du tissu conjonctif de l’Abdomen;D21.4;Abdomen;"[""D21.4""]";[];0;156;47
"Plaie ouverte de l’Abdomen; de la région lombo-sacrée et du bassin";S31;Abdomen;"[""S31""]";[];0;157;66
Plaie ouverte de la région lombo-sacrée;S31;Abdomen;"[""S31""]";[];0;158;39
Plaie ouverte du bassin;S31;Abdomen;"[""S31""]";[];0;159;23
Plaies ouvertes multiples de l’Abdomen;S31.7;Abdomen;"[""S31.7""]";[];0;160;38
Plaies ouvertes multiples des lombes;S31.7;Abdomen;"[""S31.7""]";[];0;161;36
Plaies ouvertes multiples du bassin;S31.7;Abdomen;"[""S31.7""]";[];0;162;35
Lésion traumatique des nerfs et de la moelle épinière lombaire au niveau de l’Abdomen;S34;Abdomen;"[""S34""]";[];0;163;85
Lésion traumatique des nerfs et de la moelle épinière lombaire au niveau des lombes;S34;Abdomen;"[""S34""]";[];0;164;83
Lésion traumatique des nerfs et de la moelle épinière lombaire au niveau du bassin;S34;Abdomen;"[""S34""]";[];0;165;82
Lésion traumatique de(s) nerf(s) périphérique(s) de l’Abdomen;S34.6;Abdomen;"[""S34.6""]";[];0;166;61
Lésion traumatique de(s) nerf(s) périphérique(s) des lombes;S34.6;Abdomen;"[""S34.6""]";[];0;167;59
Lésion traumatique de(s) nerf(s) périphérique(s) du bassin;S34.6;Abdomen;"[""S34.6""]";[];0;168;58
Lésion traumatique de vaisseaux sanguins au niveau de l’Abdomen;S35;Abdomen;"[""S35""]";[];0;169;63
Lésion traumatique de vaisseaux sanguins au niveau des lombes;S35;Abdomen;"[""S35""]";[];0;170;61
Lésion traumatique de vaisseaux sanguins au niveau du bassin;S35;Abdomen;"[""S35""]";[];0;171;60
Lésion traumatique de vaisseaux sanguins épiduraux au niveau de l’Abdomen;S35.80;Abdomen;"[""S35.80""]";[];0;172;73
Lésion traumatique de vaisseaux sanguins épiduraux au niveau de la région lombosacrée;S35.80;Abdomen;"[""S35.80""]";[];0;173;85
Lésion traumatique de vaisseaux sanguins épiduraux au niveau du bassin;S35.80;Abdomen;"[""S35.80""]";[];0;174;70
Lésion traumatique de vaisseaux sanguins sous-duraux au niveau de l’Abdomen;S35.81;Abdomen;"[""S35.81""]";[];0;175;75
Lésion traumatique de vaisseaux sanguins sous-duraux au niveau de la région lombosacrée;S35.81;Abdomen;"[""S35.81""]";[];0;176;87
Lésion traumatique de vaisseaux sanguins sous-duraux au niveau du bassin;S35.81;Abdomen;"[""S35.81""]";[];0;177;72
Lésion traumatique de vaisseaux sanguins sous-arachnoïdiens au niveau de l’Abdomen;S35.82;Abdomen;"[""S35.82""]";[];0;178;82
Lésion traumatique de vaisseaux sanguins sous-arachnoïdiens au niveau de la région lombosacrée;S35.82;Abdomen;"[""S35.82""]";[];0;179;94
Lésion traumatique de vaisseaux sanguins sous-arachnoïdiens au niveau du bassin;S35.82;Abdomen;"[""S35.82""]";[];0;180;79
Écrasement et amputation traumatique d’une partie de l’Abdomen;S38;Abdomen;"[""S38""]";[];0;181;62
Écrasement et amputation traumatique d’une partie des lombes;S38;Abdomen;"[""S38""]";[];0;182;60
Écrasement et amputation traumatique d’une partie du bassin;S38;Abdomen;"[""S38""]";[];0;183;59
Lésion traumatique des muscles et de tendons de l’Abdomen;S39.0;Abdomen;"[""S39.0""]";[];0;184;57
Lésion traumatique des muscles et de tendons des lombes;S39.0;Abdomen;"[""S39.0""]";[];0;185;55
Lésion traumatique des muscles et de tendons du bassin;S39.0;Abdomen;"[""S39.0""]";[];0;186;54
Plaies ouvertes du thorax et de l’Abdomen;T01.1;Abdomen;"[""T01.1""]";[];0;187;41
Plaies ouvertes du thorax et des lombes;T01.1;Abdomen;"[""T01.1""]";[];0;188;39
Plaies ouvertes du thorax et du bassin;T01.1;Abdomen;"[""T01.1""]";[];0;189;38
Écrasement du thorax et de l’Abdomen;T04.1;Abdomen;"[""T04.1""]";[];0;190;36
Écrasement du thorax et de la région lombo-sacrée;T04.1;Abdomen;"[""T04.1""]";[];0;191;49
Écrasement du thorax et du bassin;T04.1;Abdomen;"[""T04.1""]";[];0;192;33
Dissection transversale de l'abdomen;T05.8;Abdomen;"[""T05.8""]";[];0;193;36
Gelure du thorax;T35.3;Abdomen;"[""T35.3""]";[];0;194;16
Gelure de l’Abdomen;T35.3;Abdomen;"[""T35.3""]";[];0;195;19
Gelure du bassin;T35.3;Abdomen;"[""T35.3""]";[];0;196;16
Typhus Abdominale;A01.0;Abdominal;"[""A01.0""]";[];0;197;17
Tularémie Abdominale;A21.3;Abdominal;"[""A21.3""]";[];0;198;20
Actinomycose Abdominale;A42.1;Abdominal;"[""A42.1""]";[];0;199;23
Syphilis de l’aorte Abdominale;"A52.0†; I79.1*";Abdominal;"[""A52.0"";""I79.1""]";[];0;200;30
Tumeur maligne de l'Œsophage Abdominal;C15.2;Abdominal;"[""C15.2""]";[];0;201;38
Carcinome cutané de la paroi Abdominale;C44.5;Abdominal;"[""C44.5""]";[];0;202;39
"Dissection de l’aorte Abdominale; sans signes de rupture";I71.02;Abdominal;"[""I71.02""]";[];0;203;56
"Dissection de l’aorte Abdominale; avec rupture";I71.06;Abdominal;"[""I71.06""]";[];0;204;46
"Anévrisme aortique Abdominal; rompu";I71.3;Abdominal;"[""I71.3""]";[];0;205;35
"Anévrisme aortique Abdominal; sans mention de rupture";I71.4;Abdominal;"[""I71.4""]";[];0;206;53
Thrombose de l’aorte Abdominale;I74.0;Abdominal;"[""I74.0""]";[];0;207;31
Thrombose d’une veine Abdominale;I82.88;Abdominal;"[""I82.88""]";[];0;208;32
Hernie de la paroi Abdominale antérieure;K43;Abdominal;"[""K43""]";[];0;209;40
Hernie sur cicatrice Abdominale;K43.2;Abdominal;"[""K43.2""]";[];0;210;31
Hernie de la paroi Abdominale;K43.99;Abdominal;"[""K43.99""]";[];0;211;29
Adhérences de la paroi Abdominale;K66.0;Abdominal;"[""K66.0""]";[];0;212;33
Grossesse Abdominale;P01.4;Abdominal;"[""P01.4""]";[];0;213;20
Coarctation de l’aorte Abdominale;Q25.1;Abdominal;"[""Q25.1""]";[];0;214;33
Aplasie congénitale de la musculature Abdominale;Q79.4;Abdominal;"[""Q79.4""]";[];0;215;48
Situs inversus ou transversus: Abdominal;Q89.3;Abdominal;"[""Q89.3""]";[];0;216;40
Douleur Abdominale et pelvienne;R10;Abdominal;"[""R10""]";[];0;217;31
Syndrome Abdominal aigu;R10.0;Abdominal;"[""R10.0""]";[];0;218;23
Distension Abdominale (gazeuse);R14;Abdominal;"[""R14""]";[];0;219;31
Contracture Abdominale;R19.3;Abdominal;"[""R19.3""]";[];0;220;22
Le syndrome du compartiment Abdominal;R19.80;Abdominal;"[""R19.80""]";[];0;221;37
Contusion de la paroi Abdominale;S30.1;Abdominal;"[""S30.1""]";[];0;222;32
Plaie ouverte de la paroi Abdominale;S31.1;Abdominal;"[""S31.1""]";[];0;223;36
Lésion traumatique de l’aorte Abdominale;S35.0;Abdominal;"[""S35.0""]";[];0;224;40
Syndrome rectus Abdominis;G58.0;Abdominis;"[""G58.0""]";[];0;225;25
Artère pulmonaire Aberrante;Q25.7;Aberrant;"[""Q25.7""]";[];0;226;27
Vaisseau rénal Aberrant;Q27.8;Aberrant;"[""Q27.8""]";[];0;227;23
Aberration mammaire;Q83.88;Aberration;"[""Q83.88""]";[];0;228;19
Aberration de la rate;Q89.08;Aberration;"[""Q89.08""]";[];0;229;21
Amylose ABeta2M variante;E85.1;ABeta2M;"[""E85.1""]";[];0;230;24
Amylose ABeta2Mwt;E85.3;ABeta2Mwt;"[""E85.3""]";[];0;231;17
Abêtalipoprotéinémie;E78.6;Abêtalipoprotéinémie;"[""E78.6""]";[];0;232;20
Rétrécissement urétral secondaire à Ablation de condylome;N99.18;Ablation;"[""N99.18""]";[];0;233;57
Ablation de sutures;Z48.0;Ablation;"[""Z48.0""]";[];0;234;19
Ablépharie;Q10.3;Ablépharie;"[""Q10.3""]";[];0;235;10
Syndrome d’Ablépharie-macrostomie;Q87.0;Ablépharie-macrostomie;"[""Q87.0""]";[];0;236;33
Iso-immunisation: ABO;O36.1;ABO;"[""O36.1""]";[];0;237;21
Iso-immunisation ABO du fœtus et du nouveau-né;P55.1;ABO;"[""P55.1""]";[];0;238;46
Réaction d’incompatibilité ABO;T80.3;ABO;"[""T80.3""]";[];0;239;30
Peste Abortive;A20.8;Abortive;"[""A20.8""]";[];0;240;14
Brucellose à Brucella Abortus;A23.1;Abortus;"[""A23.1""]";[];0;241;29
Abouchement de la veine cave supérieure gauche dans l’oreillette gauche par le sinus coronaire;Q26.1;Abouchement;"[""Q26.1""]";[];0;242;94
Abouchement de la veine cave supérieure droite dans l’oreillette gauche;Q26.8;Abouchement;"[""Q26.8""]";[];0;243;71
Abrasion des dents;K03.1;Abrasion;"[""K03.1""]";[];0;244;18
Lésion traumatique de la conjonctive et Abrasion de la cornée sans mention de corps étranger;S05.0;Abrasion;"[""S05.0""]";[];0;245;92
Abrasion du cou;S10.91;Abrasion;"[""S10.91""]";[];0;246;15
Abrasion du thorax antérieure;S20.31;Abrasion;"[""S20.31""]";[];0;247;29
Abrasion du thorax;S20.81;Abrasion;"[""S20.81""]";[];0;248;18
Abrasions multiples;T00.9;Abrasion;"[""T00.9""]";[];0;249;19
Lésion traumatique superficielle du tronc;T09.01;Abrasion;"[""T09.01""]";[];0;250;41
Lésion traumatique superficielle du membre supérieur;T11.01;Abrasion;"[""T11.01""]";[];0;251;52
Lésion traumatique superficielle du membre inférieur;T13.01;Abrasion;"[""T13.01""]";[];0;252;52
Folliculite Hoffmann;L66.3;Abscedens;"[""L66.3""]";[];0;253;20
Absence de désir sexuel;F52.0;Absence;"[""F52.0""]";[];0;254;23
POMA [Myoclonie périorale avec Absence];G40.3;Absence;"[""G40.3""]";[];0;255;39
Épilepsie avec absences myocloniques;G40.4;Absence;"[""G40.4""]";[];0;256;36
État d’Absences épileptiques;G41.1;Absence;"[""G41.1""]";[];0;257;28
Neuropathie héréditaire avec surdité et déficience intellectuelle;G60.0;Absence;"[""G60.0""]";[];0;258;65
Absence de menstruation;N91.2;Absence;"[""N91.2""]";"[""Ammenorhée primaire""]";0;259;23
Iléus méconial sans fibrose kystique du pancréas;P76.0;Absence;"[""P76.0""]";[];0;260;48
Absence d’une partie de l’encéphale;Q04.3;Absence;"[""Q04.3""]";"[""Anencephalie partielle""]";0;261;35
Absence d’orifice lacrymal;Q10.4;Absence;"[""Q10.4""]";[];0;262;26
Absence d’iris;Q13.1;Absence;"[""Q13.1""]";[];0;263;14
Agénesie du pavillon de l’oreille;Q16.0;Absence;"[""Q16.0""]";[];0;264;33
atrésie congénitale du conduit auditif externe;Q16.1;Absence;"[""Q16.1""]";[];0;265;46
Absence de trompe d’Eustache;Q16.2;Absence;"[""Q16.2""]";[];0;266;28
Agénesie de l’oreille;Q16.9;Absence;"[""Q16.9""]";[];0;267;21
Agénesie du lobe de l’oreille;Q17.8;Absence;"[""Q17.8""]";[];0;268;29
Syndrome d’agénésie de la valve pulmonaire;"Q24.8; Q25.8";Absence;"[""Q24.8"";""Q25.8""]";[];0;269;42
Tétralogie de Fallot;"Q24.8; Q25.8";Absence;"[""Q24.8"";""Q25.8""]";"[""T4F""]";0;270;20
Absence du canal artériel;"Q24.8; Q25.8";Absence;"[""Q24.8"";""Q25.8""]";[];0;271;25
Agénesie de l’aorte;Q25.4;Absence;"[""Q25.4""]";"[""Agenesie de l'aorte""]";0;272;19
Agénesie de l’artère ombilicale;Q27.0;Absence;"[""Q27.0""]";[];0;273;31
Hypoplasie de l’artère ombilicale;Q27.0;Absence;"[""Q27.0""]";[];0;274;33
Agénesie du nez;Q30.1;Absence;"[""Q30.1""]";[];0;275;15
Agénesie d’organes respiratoires;Q34.9;Absence;"[""Q34.9""]";[];0;276;32
